,city,lat,lng
30337,Chapelle-lez-Herlaimont,50.4667,4.2833
30404,Waremme,50.6975,5.2556
30482,Bonheiden,51.0333,4.5333
30564,Tremelo,50.9911,4.7044
30579,Genappe,50.6,4.45
30906,Berlare,51.025,4.0025
31076,Opwijk,50.9667,4.1833
31150,Buggenhout,51.0,4.2
31169,Lummen,50.9833,5.2
31188,Ravels,51.3667,5.0
31279,Anzegem,50.8336,3.4783
31387,Thuin,50.3333,4.2833
31412,Sprimont,50.5,5.6667
31450,Amay,50.5478,5.3192
31490,Herselt,51.05,4.8833
31588,Haacht,50.9767,4.6372
31624,Lubbeek,50.8817,4.8414
31700,Kuurne,50.8519,3.2861
31906,Liedekerke,50.8667,4.0833
31967,Wingene,51.05,3.2667
32098,Assenede,51.2333,3.75
32135,Oud-Turnhout,51.3167,4.9833
32222,Jodoigne,50.7167,4.8667
32240,Beloeil,50.5333,3.7167
32258,Ichtegem,51.1,3.0
32406,Jabbeke,51.1833,3.1
32469,Sint-Gillis-bij-Dendermonde,51.0189,4.1058
32500,Enghien,50.7,4.0333
32579,Boechout,51.15,4.4833
32592,Oostakker,51.1,3.7667
32772,Wanze,50.5353,5.2133
32776,Wommelgem,51.2,4.5167
32798,Oosterzele,50.95,3.8
32808,Couvin,50.05,4.4833
32999,Blegny,50.6667,5.7333
33055,Dinant,50.2667,4.9167
33087,Beyne-Heusay,50.6167,5.65
33156,Zelzate,51.2,3.8167
33180,Grez-Doiceau,50.7333,4.7
33302,Arendonk,51.3167,5.0833
33444,Keerbergen,51.0031,4.6311
33624,Sint-Michiels,51.1833,3.2167
33646,Zandhoven,51.2167,4.65
33651,Bocholt,51.1722,5.5794
33715,Esneux,50.5333,5.5667
33858,Gavere,50.9333,3.6667
33913,Mettet,50.3192,4.6569
33980,Olen,51.15,4.85
34089,Boortmeerbeek,50.9833,4.5667
34222,Anderlues,50.408,4.2696
34251,Herk-de-Stad,50.9406,5.1672
34279,De Haan,51.2731,3.0336
34287,Gerpinnes,50.3369,4.5283
34352,Laarne,51.0167,3.85
34356,Strombeek-Bever,50.91,4.35
34480,Kortemark,51.0286,3.0444
34549,Malmédy,50.4167,6.0167
34736,Drongen,51.05,3.6667
34796,Rochefort,50.1667,5.2167
34799,Zonnebeke,50.8667,2.9833
34854,Steenokkerzeel,50.9189,4.5083
34873,Paal,51.0392,5.1728
34944,Aywaille,50.4733,5.6739
35015,Niel,51.1167,4.3333
35067,Deerlijk,50.8533,3.3533
35139,Kinrooi,51.145,5.7403
35160,Profondeville,50.3769,4.87
35217,Veurne,51.0722,2.6622
35231,Nevele,51.0333,3.55
35285,Gistel,51.1561,2.9672
35381,Melle,51.0,3.8
35393,Farciennes,50.4313,4.5476
35521,Kampenhout,50.9413,4.5496
35639,Rijkevorsel,51.35,4.7667
35659,Alken,50.8761,5.3078
35672,Theux,50.5349,5.8134
35724,Bernissart,50.4833,3.65
35743,Berlaar,51.1167,4.65
35815,Vosselaar,51.3167,4.8833
35841,Wichelen,51.0,3.9667
36068,Chaumont-Gistoux,50.6839,4.6947
36180,Nieuwpoort,51.1167,2.75
36547,Hoeilaart,50.7667,4.4667
36560,Durbuy,50.3522,5.4563
36595,Melsele,51.2209,4.2815
36654,La Calamine,50.7,6.0
36664,De Pinte,51.0,3.65
36749,Staden,50.975,3.0147
36790,Ingelmunster,50.9208,3.2533
36809,De Panne,51.1019,2.5917
36884,Grobbendonk,51.2,4.7167
37034,Florennes,50.2514,4.6044
37080,Retie,51.2667,5.0667
37116,Oud-Heverlee,50.8333,4.6667
37117,Écaussinnes-Lalaing,50.5667,4.1833
37125,Seneffe,50.5333,4.25
37140,Virton,49.5675,5.5325
37218,Heule,50.8333,3.2333
37232,Moorslede,50.8906,3.0628
37450,Meulebeke,50.9497,3.2869
37769,Damme,51.25,3.2833
37841,Waasmunster,51.1097,4.0847
37902,Hulshout,51.0833,4.7833
38209,Ertvelde,51.1783,3.7447
38218,Wijnegem,51.2333,4.5333
38234,Villers-la-Ville,50.5833,4.5333
38314,Braine-le-Château,50.6833,4.2667
38319,Borgloon,50.8022,5.3433
38349,Court-Saint-Étienne,50.6333,4.5667
38450,Raeren,50.6833,6.1167
38548,Montignies-le-Tilleul,50.3833,4.3833
38685,Estaimpuis,50.6756,3.2758
38707,Opglabbeek,51.05,5.5833
38959,Sint-Lievens-Houtem,50.9167,3.8667
38961,Spa,50.4925,5.8642
38988,Begijnendijk,51.0186,4.785
39032,Meerhout,51.1333,5.0833
39057,Jurbise,50.5333,3.9333
39059,Plombières,50.7333,5.95
39237,Avelgem,50.7753,3.4442
39800,Welkenraedt,50.6606,5.9714
39893,Bertem,50.85,4.6167
39944,Bierbeek,50.8333,4.7667
40113,Hooglede,50.9781,3.0817
40122,Houthulst,50.9783,2.9506
40180,Lint,51.1167,4.4833
40265,Erquelinnes,50.3101,4.1219
40275,Holsbeek,50.9167,4.7667
40287,Pepinster,50.5667,5.8167
40324,Huldenberg,50.7833,4.5833
40403,Ledegem,50.8531,3.1267
40509,Lovendegem,51.1,3.6
40620,Wielsbeke,50.9089,3.3697
40652,Kapelle-op-den-Bos,51.0167,4.3667
40665,Hoeselt,50.85,5.4833
40696,Oudenburg,51.1833,3.0
40777,Dessel,51.2333,5.1167
40939,Chimay,50.05,4.3167
41245,Saint-Vith,50.2833,6.1333
41310,Halen,50.9481,5.1144
41362,Awans,50.6669,5.4633
41652,Juprelle,50.7167,5.5333
41759,Herenthout,51.15,4.7667
41801,Perwez,50.6241,4.815
41813,Gooik,50.8,4.1167
41952,La Bruyère,50.5,4.8
42119,Yvoir,50.3333,4.8833
42130,Sint-Martens-Lennik,50.8,4.15
42165,Heusden,51.0281,3.8
42199,Philippeville,50.2,4.55
42283,Ardooie,50.9667,3.1833
42344,Bassenge,50.7586,5.6086
42364,Beauraing,50.1092,4.9567
42540,Lichtervelde,51.0333,3.1333
42794,Koekelare,51.0906,2.9803
42867,Galmaarden,50.75,3.9667
42903,Sint-Job-in-’t-Goor,51.3,4.5667
43158,Bertrix,49.8542,5.2533
43236,Merksplas,51.3667,4.8667
43394,Jalhay,50.5572,5.9642
